score,cef name,symbol,leveraged,mkt cap,prem/disc,expense ratio,distrib rate
67,NUVEEN AMT-FREE QUALITY MUNI INC,NEA,Yes,$5.9B,-5.93%,1.41%,7.65%
68,NUVEEN QUALITY MUNI INCOME FUND,NAD,Yes,$4.7B,-6.04%,1.41%,7.74%
87,PIMCO DYNAMIC INCOME OPPORTUNITIES FUND,PDO,Yes,$4.6B,+4.27%,1.15%,11.46%
64,NUVEEN AMT-FREE MUNICIPAL CREDIT INCOME FUND,NVG,Yes,$4.6B,-4.89%,1.50%,7.60%
63,DNP SELECT INCOME FUND,DNP,Yes,$4.3B,+1.15%,1.86%,8.65%
70,NUVEEN PREFERRED & INCOME OPPORTUNITIES FUND,JPC,Yes,$4.2B,-0.12%,1.71%,10.00%
55,COHEN & STEERS INFRASTRUCTURE FUND,UTF,Yes,$4.2B,+1.35%,2.29%,7.89%
53,CALAMOS STRATEGIC TOTAL RETURN FUND,CSQ,Yes,$4.1B,-2.53%,1.91%,6.79%
61,NUVEEN MUNICIPAL CREDIT INCOME FUND,NZF,Yes,$4.0B,-4.89%,1.60%,7.61%
75,BLACKROCK CAPITAL ALLOCATION TERM TRUST,BCAT,No,$3.8B,-4.12%,1.99%,22.09%
50,REAVES UTILITY INCOME TRUST,UTG,Yes,$3.5B,-1.69%,2.23%,7.17%
53,COHEN & STEERS QUALITY INCOME REALTY FUND,RQI,Yes,$3.2B,-2.72%,2.21%,7.63%
65,NUVEEN CALIFORNIA QUALITY MUNICIPAL INCOME FUND,NAC,Yes,$3.0B,-8.49%,1.47%,7.73%
48,KAYNE ANDERSON ENERGY INFRASTRUCTURE FUND,KYN,Yes,$3.0B,-7.44%,5.18%,7.89%
42,GABELLI DIVIDEND & INCOME TRUST,GDV,Yes,$2.9B,-13.43%,2.52%,5.35%
79,EATON VANCE TAX-MANAGED GLOBAL DIVERSIFIED EQUITY INCOME FUND,EXG,No,$2.8B,-9.93%,1.20%,9.37%
97,ADAMS DIVERSIFIED EQUITY FUND,ADX,No,$2.7B,-10.99%,0.59%,38.10%
72,EATON VANCE TAX-ADVANTAGED DIVIDEND INCOME FUND,EVT,Yes,$2.4B,-7.86%,1.24%,8.03%
72,EATON VANCE TAX-MANAGED DIVERSIFIED EQUITY INCOME FUND,ETY,No,$2.4B,-2.01%,1.20%,7.79%
