ticker,corpname,mktcap,quote
MISX-GAZP,Public Joint Stock Company Gazprom,44587.56,198.0
MISX-ROSN,Public Joint Stock Company Rosneft Oil Company,31774.97,351.2
MISX-SBER,Sberbank of Russia,28509.8,133.3
MISX-NVTK,PAO NOVATEK,28311.52,876.65
MISX-LKOH,PJSC LUKOIL,25788.31,3911.0
MISX-GMKN,Public Joint Stock Company Mining and Metallurgical Company Norilsk Nickel,24342.09,1.59
MISX-SIBN,Public Joint Stock Company Gazprom Neft,17537.78,390.3
MISX-PHOR,Public Joint-Stock Company PhosAgro,9779.27,7929.0
MISX-SNGS,Surgutneftegas Public Joint Stock Company,8844.89,25.19
MISX-TATN,PJSC Tatneft,8718.48,377.19
MISX-TRNFP,Public Joint Stock Company Transneft,8537.11,1131.53
MISX-PLZL,Public Joint Stock Company Polyus,7557.83,79.77
MISX-CHMF,Public Joint Stock Company Severstal,6553.47,821.4
MISX-AKRN,Public Joint Stock Company Acron,6357.09,18362.0
MISX-VSMO,"Public Stock Company ""VSMPO-AVISMA Corporation""",6269.99,57180.0
MISX-IRKT,Public Joint Stock Company Yakovlev,5981.16,54.7
MISX-UNAC,Public Joint Stock Company United Aircraft Corporation,5954.74,0.63
MISX-TCSG,International Public Joint-Stock Company TCS Holding,4899.8,2013.0
MISX-VTBR,VTB Bank (public joint-stock company),4815.02,94.15
MISX-PIKK,Public Joint Stock Company PIK-specialized homebuilder,4758.83,757.0
MISX-ALRS,Public Joint Stock Company ALROSA,4591.44,66.84
MISX-MTSS,Mobile TeleSystems Public Joint Stock Company,4415.01,241.2
MISX-MFON,Public Joint Stock Company MegaFon,3841.7,537.7
MISX-HYDR,Public Joint-Stock Company Federal Hydro-Generating Company - RusHydro,3371.77,0.8
MISX-MAGN,Public Joint Stock Company Magnitogorsk Iron & Steel Works,3352.36,31.5
MISX-MGNT,Public Joint Stock Company Magnit,2868.4,4439.0
MISX-IRAO,Public Joint Stock Company Inter RAO UES,2279.27,3.4
MISX-RTKM,Public Joint Stock Company Rostelecom,2124.96,61.98
MISX-RASP,Public Joint Stock Company Raspadskaya,1886.28,297.5
MISX-MOEX,Public Joint-Stock Company Moscow Exchange MICEX-RTS,1837.34,85.2
MISX-FEES,Public Joint-Stock Company Federal Grid Company of Unified Energy System,1801.19,0.09
MISX-ROSB,Public joint stock company ROSBANK,1650.9,111.73
MISX-BANE,Public Joint Stock Oil Company Bashneft,1619.34,1046.49
MISX-CBOM,Credit Bank of Moscow (public joint-stock company),1613.23,4.94
MISX-SMLT,Samolet Group Public Joint Stock Company,1510.13,2707.91
MISX-AFKS,Sistema Public Joint Stock Financial Corporation,1384.9,15.12
MISX-NKNC,Public Joint Stock Company Nizhnekamskneftekhim,1360.6,79.55
MISX-UWGN,Public Joint Stock Company Research and Production Corporation United Wagon Company,1309.05,47.3
MISX-SGZH,Group of Companies Segezha Public Joint Stock Company,1217.71,8.15
MISX-KZOS,Kazan Public Joint Stock Company Organichesky sintez,1195.8,70.34
MISX-RSTI,"Rosseti, Public Joint Stock Company",1153.71,0.6
MISX-TRCN,Public Joint Stock Company Center for Cargo Container Traffic TransContainer,1137.41,4871.42
MISX-MGTS,Public Joint Stock Company Moscow City Telephone Network,1115.94,1470.0
MISX-GCHE,"Public Joint Stock Company ""Cherkizovo Group""",1065.82,2650.5
MISX-AFLT,Public Joint Stock Company Aeroflot - Russian Airlines,1032.51,27.6
MISX-NMTP,Public Joint Stock Company Novorossiysk Commercial Sea Port,982.53,0.05
MISX-APTK,Public Joint-Stock Company Pharmacy Chain 36.6,905.5,12.5
