ticker,desc,category,tz
ZN=F,10YNote,rate,America/New_York
ZB=F,TBond,rate,America/New_York
CL=F,Crude,energy,America/New_York
ES=F,SP500,equity,America/New_York
NQ=F,Nasdaq,equity,America/New_York
GC=F,Gold,metal,America/New_York
HG=F,Copper,metal,America/New_York
PL=F,Platinum,metal,America/New_York
ZF=F,5YTreas,rate,America/New_York
ZQ=F,30YTreas,rate,America/New_York
JPY=X,Yen,fx,Europe/London
AUDUSD=X,Aussie,fx,Europe/London
EURUSD=X,Euro,fx,Europe/London
MXN=X,MXPeso,fx,Europe/London
BTC-USD,Bitcoin,crypto,UTC
ETH-USD,Ethereum,crypto,UTC
GBPUSD=X,Sterling,fx,Europe/London
ZS=F,Soybean,soft,America/New_York
ZT=F,2YNote,rate,America/New_York
LE=F,LCattle,soft,America/New_York
HE=F,Hoggs,soft,America/New_York
NG=F,NatGas,energy,America/New_York
SI=F,Silver,metal,America/New_York
ZC=F,Corn,soft,America/New_York
SB=F,Sugar,soft,America/New_York
CC=F,Cocoa,soft,America/New_York
KC=F,Coffee,soft,America/New_York
KE=F,KCWheat,soft,America/New_York
ZW=F,ChicagoWheat,soft,America/New_York
LBR=F,RLLumber,soft,America/New_York
CAD=X,CAD,fx,Europe/London
CHF=X,Swiss,fx,Europe/London
DOT-USD,Polkadot,crypto,UTC
SOL-USD,Solana,crypto,UTC
BNB-USD,Bnb,crypto,UTC
MATIC-USD,Matic,crypto,UTC
